price,sqft_living,bedrooms,bathrooms,floors
196500,1320,3,1,1
582800,2550,4,2.75,1
440000,1560,3,1.75,1
752500,2360,4,2.25,2
532500,1330,3,1.75,2
265000,1070,3,1,1
397500,1510,3,1.25,1
524250,1710,3,2.5,2
765000,2790,4,2.75,2
648000,2620,4,2.5,2
469500,2970,5,2.5,1
237500,1050,3,1.75,1
216000,1280,3,1,1
427200,1030,3,1,1
280000,1900,3,2.25,1
718000,3070,5,3,1
420000,1760,2,2.75,2
379000,930,2,1,1
326100,880,2,1,1
535000,1360,3,2.5,3
283000,2130,4,2.75,1
260000,1480,3,1,1.5
399000,1500,4,1,1.5
484950,1670,3,2.25,2
640000,2060,4,1.75,1
585000,2160,4,2.5,1
645000,2780,4,2,1
253000,1490,3,2,1
178500,740,2,1,1
291000,1860,4,2.5,2
199950,1590,2,2.75,1.5
553500,850,2,1,1
189950,1030,2,1,1
289000,1850,3,2,1
700000,1830,4,2,2
270000,1560,3,2,1
258000,1730,4,1.75,1
530000,1930,3,2.5,2
245000,1422,3,2.25,2
563000,1380,3,2,1.5
515000,2430,3,2.5,2
325000,2610,4,2.5,2
540000,2000,3,2.25,2
280300,920,2,1,1
460000,1750,4,1.75,1.5
475000,2020,3,1.75,1
900000,2460,4,2.25,1
538200,1780,4,3,1
429000,1080,2,1,1
164808,1250,3,1,1
520000,1870,4,2.25,2
475000,1700,3,1.75,1
283000,1480,4,1.5,1
321500,1930,4,2.5,2
840000,3130,4,2.75,2
287000,1370,3,2.25,2
375000,960,3,1.75,1
349500,1260,3,1.75,1
446450,1480,3,1.5,1
315000,1930,4,2.5,2
271310,870,2,1,1.5
315000,1300,4,1,1.5
245000,1490,3,1.75,1
